State,Constituency No,Constituency,Candidate,Party,Website
Uttar Pradesh,47,Hamirpur ,Shri Pritam Singh Lodhi,BJP,
Uttar Pradesh,48,Banda ,Smt. Amita Bajpai,BJP,
Uttar Pradesh,49,Fatehpur ,Shri Radhey Shyam Gupxa,BJP,
Uttar Pradesh,50,Koshambi (SC) ,Shri Goutam Choudhary,BJP,
Uttar Pradesh,51,Phulpur ,Shri Karan Singh Patel,BJP,
Uttar Pradesh,53,Barabanki (SC) ,Shri Ram Naresh Rawat,BJP,
Uttar Pradesh,54,Faizabad ,Shri Lallu Singh,BJP,
Uttar Pradesh,55,Ambedkar Nagar ,Shri Vinay Katiyar,BJP,
Uttar Pradesh,56,Bahraich (SC) ,Shri Akshaywar Lal Gour,BJP,
Uttar Pradesh,57,Kesharganj ,Shri Lalta Prasad Mishra,BJP,
Uttar Pradesh,58,Shrawasti ,Shri Satyadev Singh,BJP,
Uttar Pradesh,59,Gonda ,Shri Rampratap Singh,BJP,
Uttar Pradesh,60,Dumariganj ,Shri Jaipratap Singh,BJP,
