State,Constituency No,Constituency,Candidate,Party,Website,Caste,Sex,Education
Uttar Pradesh,20,Firozabad ,Raghuvar Dayal Verma,BJP,,,Male,
Uttar Pradesh,21,Mainpuri ,Miss Trapxi Shakya,BJP,,,Male,
Uttar Pradesh,22,Etah,Shyam Singh Shakya,BJP,,,Male,Graduate
Uttar Pradesh,24,Aonla ,Meneka Gandhi,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=129,,Male,
Uttar Pradesh,25,Bareilly ,Santosh Gangwar,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=131,,Male,
Uttar Pradesh,26,Pilibhit ,Varun Gandhi,BJP,,,Male,
Uttar Pradesh,27,Shahjahanpur  ,Krishna Raj,BJP,,SC,Male,
Uttar Pradesh,28,Khiri ,Ajay Mishra Teni,BJP,,,Male,
Uttar Pradesh,29,Dhaurahra ,Raghvendra Singh,BJP,,,Male,
Uttar Pradesh,30,Sitapur ,Gyan Tiwari,BJP,,,Male,
Uttar Pradesh,31,Hardoi  ,Poornima Verma,BJP,,SC,Female,
Uttar Pradesh,32,Mishrikh  ,Anil Bhargav,BJP,,SC,Male,
Uttar Pradesh,33,Unnao ,Ramesh Kumar Singh,BJP,,,Male,
Uttar Pradesh,34,Mohanlal Ganj  ,Ranjan Choudhary (Pasi),BJP,,SC,Male,
Uttar Pradesh,35,Lucknow ,Lalji Tandon,BJP,,,Male,
Uttar Pradesh,36,Rae Bareli,R.V. Singh,BJP,,,Male,
Uttar Pradesh,37,Amethi,Pradeep Singh,BJP,,,Male,
Uttar Pradesh,38,Sultanpur ,Surajbhan Singh,BJP,,,Male,
Uttar Pradesh,39,Pratapgarh ,Laxmi Narayan Pandey,BJP,,,Male,
Uttar Pradesh,40,Farukhabad ,Mithilesh Aggarwal,BJP,,,Female,
Uttar Pradesh,41,Etawah  ,Kamlesh Katheriya,BJP,,SC,Female,
Uttar Pradesh,42,Kannauj ,Subrat Pathak,BJP,,,Male,
Uttar Pradesh,43,Kanpur ,Satish Mahana,BJP,,,Male,
Uttar Pradesh,44,Akbarpur ,"Arun Tiwari ""Baba""",BJP,,,Male,
Uttar Pradesh,45,Jalaun  ,Bhanu Pratap Verma,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3824,SC,Male,
